year,month,day,hour,minute,second,max_vert_acc,rms_vert_acc,vert_acc_p95,source_file,bottom_rms
2024.0,11.0,30.0,15.0,14.0,44.0,0.30000000000000004,0.09068719130432186,0.16999999999999993,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207812_OY-GRO_30_11_24_15_15.csv,0.09549214627392139
2024.0,11.0,30.0,16.0,54.0,16.0,0.28,0.09829801625668749,0.20999999999999996,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207815_OY-GRG_30_11_24_56_16.csv,0.1030102476024163
2024.0,11.0,30.0,18.0,24.0,32.0,0.19999999999999996,0.08294507253279888,0.15349999999999986,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207842_OY-GRO_30_11_24_29_18.csv,0.0987782509317859
2024.0,11.0,30.0,20.0,24.0,8.0,0.20999999999999996,0.06269523960642413,0.15999999999999992,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207848_OY-GRP_30_11_24_25_20.csv,0.06409128105828679
2024.0,11.0,30.0,20.0,15.0,55.0,0.18999999999999995,0.0704147836625361,0.13,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207849_OY-GRG_30_11_24_17_20.csv,0.08900240767208815
2024.0,11.0,28.0,15.0,41.0,27.0,0.16999999999999993,0.055362809271265356,0.12899999999999984,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207879_OY-GRR_28_11_24_33_15.csv,0.07119853066763926
2024.0,11.0,28.0,21.0,58.0,9.0,0.1499999999999999,0.05121361777563947,0.09699999999999989,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207881_OY-GRR_28_11_24_53_21.csv,0.06033241251599346
2024.0,11.0,29.0,13.0,20.0,57.0,0.30000000000000004,0.08834766400145097,0.19399999999999987,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207884_OY-GRR_29_11_24_16_13.csv,0.059665735560705244
2024.0,11.0,29.0,19.0,33.0,5.0,0.29000000000000004,0.07696152885095855,0.1784999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207887_OY-GRR_29_11_24_22_19.csv,0.05068758002934027
2024.0,12.0,1.0,20.0,44.0,59.0,0.20999999999999996,0.04672105673951676,0.10599999999999996,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207892_OY-GRP_01_12_24_45_20.csv,0.07337120234351713
