year,month,day,hour,minute,second,max_vert_acc,source_file
2024.0,11.0,28.0,15.0,41.0,27.0,0.16999999999999993,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207879_OY-GRR_28_11_24_33_15.csv
2024.0,11.0,28.0,21.0,58.0,9.0,0.1499999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207881_OY-GRR_28_11_24_53_21.csv
2024.0,11.0,29.0,13.0,20.0,57.0,0.30000000000000004,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207884_OY-GRR_29_11_24_16_13.csv
2024.0,11.0,29.0,19.0,33.0,5.0,0.29000000000000004,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207887_OY-GRR_29_11_24_22_19.csv
2024.0,12.0,1.0,20.0,44.0,59.0,0.20999999999999996,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207892_OY-GRP_01_12_24_45_20.csv
2024.0,12.0,2.0,13.0,7.0,24.0,0.10000000000000009,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207897_OY-GRM_02_12_24_09_13.csv
2024.0,12.0,2.0,13.0,42.0,19.0,0.1399999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207898_OY-GRK_02_12_24_44_13.csv
2024.0,12.0,2.0,13.0,3.0,50.0,0.17000000000000004,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207899_OY-GRH_02_12_24_04_13.csv
2024.0,12.0,2.0,19.0,3.0,0.0,0.15999999999999992,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207924_OY-GRK_02_12_24_04_19.csv
2024.0,12.0,2.0,21.0,3.0,45.0,0.1299999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207939_OY-GRG_02_12_24_05_21.csv
2024.0,12.0,2.0,17.0,1.0,41.0,0.18999999999999995,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207940_OY-GRO_02_12_24_03_17.csv
2024.0,12.0,3.0,0.0,35.0,7.0,0.19999999999999996,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207945_OY-GRO_03_12_24_37_00.csv
2024.0,12.0,3.0,11.0,46.0,47.0,0.24,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207948_OY-GRO_03_12_24_48_11.csv
2024.0,12.0,3.0,15.0,0.0,34.0,0.10000000000000009,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207954_OY-GRG_03_12_24_02_15.csv
2024.0,12.0,3.0,15.0,10.0,6.0,0.14,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207955_OY-GRH_03_12_24_11_15.csv
2024.0,12.0,3.0,15.0,12.0,5.0,0.16999999999999993,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207956_OY-GRO_03_12_24_13_15.csv
2024.0,12.0,3.0,15.0,21.0,23.0,0.1100000000000001,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207957_OY-GRM_03_12_24_23_15.csv
2024.0,12.0,3.0,20.0,2.0,26.0,0.27,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208004_OY-GRH_03_12_24_04_20.csv
2024.0,12.0,3.0,20.0,14.0,59.0,0.1299999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208006_OY-GRK_03_12_24_15_20.csv
2024.0,12.0,3.0,23.0,35.0,57.0,0.18999999999999995,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208009_OY-GRH_03_12_24_36_23.csv
2024.0,12.0,4.0,13.0,40.0,21.0,0.19999999999999996,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208011_OY-GRH_04_12_24_42_13.csv
2024.0,12.0,4.0,12.0,49.0,57.0,0.1299999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208014_OY-GRM_04_12_24_51_12.csv
2024.0,12.0,4.0,16.0,20.0,56.0,0.1399999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208022_OY-GRH_04_12_24_22_16.csv
2024.0,12.0,4.0,21.0,4.0,22.0,0.30000000000000004,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208038_OY-GRM_04_12_24_08_21.csv
2024.0,12.0,4.0,21.0,13.0,20.0,0.16999999999999993,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208039_OY-GRP_04_12_24_17_21.csv
2024.0,12.0,4.0,21.0,22.0,55.0,0.27,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208040_OY-GRH_04_12_24_26_21.csv
2024.0,12.0,4.0,22.0,35.0,29.0,0.24,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208042_OY-GRO_04_12_24_37_22.csv
2024.0,12.0,5.0,11.0,3.0,14.0,0.1499999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208045_OY-GRO_05_12_24_05_11.csv
2024.0,12.0,5.0,11.0,34.0,29.0,0.1100000000000001,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208048_OY-GRP_05_12_24_36_11.csv
2024.0,12.0,5.0,12.0,20.0,26.0,0.15999999999999992,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208049_OY-GRH_05_12_24_23_12.csv
2024.0,12.0,5.0,15.0,14.0,27.0,0.1200000000000001,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208056_OY-GRH_05_12_24_16_15.csv
2024.0,12.0,5.0,15.0,19.0,18.0,0.1299999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208057_OY-GRO_05_12_24_21_15.csv
2024.0,12.0,5.0,15.0,21.0,25.0,0.1200000000000001,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208058_OY-GRK_05_12_24_23_15.csv
